league,week,date,home_team,away_team,dec_H,dec_D,dec_A,imp_H,imp_D,imp_A,source
PD,1,2025-08-15,Girona,Rayo Vallecano De Madrid,,,,,,,missing
PD,1,2025-08-15,Villarreal,Real Oviedo,,,,,,,missing
PD,1,2025-08-16,Mallorca,FC Barcelona,,,,,,,missing
PD,1,2025-08-16,Alaves,Levante,,,,,,,missing
PD,1,2025-08-16,Valencia CF,Real Sociedad De Futbol,,,,,,,missing
PD,1,2025-08-17,RC Celta De Vigo,Getafe,,,,,,,missing
PD,1,2025-08-17,Athletic Club,Sevilla FC,,,,,,,missing
PD,1,2025-08-17,Espanyol De Barcelona,Club Atletico De Madrid,,,,,,,missing
PD,1,2025-08-18,Elche,Real Betis,,,,,,,missing
PD,1,2025-08-19,Real Madrid CF,Osasuna,,,,,,,missing
