league,week,date,home_team,away_team,dec_H,dec_D,dec_A,imp_H,imp_D,imp_A,source
PL,7,2025-10-03,Bournemouth,Fulham,,,,,,,csv-historic
PL,7,2025-10-04,Leeds United,Tottenham,,,,,,,csv-historic
PL,7,2025-10-04,Arsenal,West Ham,,,,,,,csv-historic
PL,7,2025-10-04,Manchester United,Sunderland,,,,,,,csv-historic
PL,7,2025-10-04,Chelsea,Liverpool,,,,,,,csv-historic
PL,7,2025-10-05,Aston Villa,Burnley,,,,,,,csv-historic
PL,7,2025-10-05,Everton,Crystal Palace,,,,,,,csv-historic
PL,7,2025-10-05,Newcastle,Nottm Forest,,,,,,,csv-historic
PL,7,2025-10-05,Wolves,Brighton,,,,,,,csv-historic
PL,7,2025-10-05,Brentford,Manchester City,,,,,,,csv-historic
