league,week,date,home_team,away_team,home_score,away_score,result,status
PL,7,2025-10-03,Bournemouth,Fulham,,,,TIMED
PL,7,2025-10-04,Leeds United,Tottenham,,,,TIMED
PL,7,2025-10-04,Arsenal,West Ham,,,,TIMED
PL,7,2025-10-04,Manchester United,Sunderland,,,,TIMED
PL,7,2025-10-04,Chelsea,Liverpool,,,,TIMED
PL,7,2025-10-05,Aston Villa,Burnley,,,,TIMED
PL,7,2025-10-05,Everton,Crystal Palace,,,,TIMED
PL,7,2025-10-05,Newcastle,Nottm Forest,,,,TIMED
PL,7,2025-10-05,Wolves,Brighton,,,,TIMED
PL,7,2025-10-05,Brentford,Manchester City,,,,TIMED
