league,week,date,home_team,away_team,dec_H,dec_D,dec_A,imp_H,imp_D,imp_A,source
SA,2,2025-08-29,Cremonese,Sassuolo,,,,,,,missing
SA,2,2025-08-29,Lecce,AC Milan,,,,,,,missing
SA,2,2025-08-30,Bologna,Como,,,,,,,missing
SA,2,2025-08-30,Parma,Atalanta,,,,,,,missing
SA,2,2025-08-30,SSC Napoli,Cagliari,,,,,,,missing
SA,2,2025-08-30,Pisa,AS Roma,,,,,,,missing
SA,2,2025-08-31,Genoa,Juventus,,,,,,,missing
SA,2,2025-08-31,Torino,Fiorentina,,,,,,,missing
SA,2,2025-08-31,Inter,Udinese,,,,,,,missing
SA,2,2025-08-31,Lazio,Hellas Verona,,,,,,,missing
